num,code
1,fr-ara-ai
2,fr-hdf-as
3,fr-ara-al
4,fr-pac-ap
5,fr-pac-ha
6,fr-pac-am
7,fr-ara-ah
8,fr-ges-an
9,fr-occ-ag
10,fr-ges-ab
11,fr-occ-ad
12,fr-occ-av
13,fr-pac-bd
14,fr-nor-cv
15,fr-ara-cl
16,fr-naq-ct
17,fr-naq-cm
18,fr-cvl-ch
19,fr-naq-cz
21,fr-bfc-co
22,fr-bre-ca
23,fr-naq-cr
24,fr-naq-dd
25,fr-bfc-db
26,fr-ara-dm
27,fr-nor-eu
28,fr-cvl-el
29,fr-bre-fi
2A,fr-cor-cs
2B,fr-cor-hc
30,fr-occ-ga
31,fr-occ-hg
32,fr-occ-ge
33,fr-naq-gi
34,fr-occ-he
35,fr-bre-iv
36,fr-cvl-in
37,fr-cvl-il
38,fr-ara-is
39,fr-bfc-ju
40,fr-naq-ld
41,fr-cvl-lc
42,fr-ara-lr
43,fr-ara-hl
44,fr-pdl-la
45,fr-cvl-lt
46,fr-occ-lo
47,fr-naq-lg
48,fr-occ-lz
49,fr-pdl-ml
50,fr-nor-mh
51,fr-ges-mr
52,fr-ges-hm
53,fr-pdl-my
54,fr-ges-mm
55,fr-ges-ms
56,fr-bre-mb
57,fr-ges-mo
58,fr-bfc-ni
59,fr-hdf-no
60,fr-hdf-oi
61,fr-nor-or
62,fr-hdf-pc
63,fr-ara-pd
64,fr-naq-pa
65,fr-occ-hp
66,fr-occ-po
67,fr-ges-br
68,fr-ges-hr
69,fr-ara-rh
70,fr-bfc-hn
71,fr-bfc-sl
72,fr-pdl-st
73,fr-ara-sv
74,fr-ara-hs
75,fr-idf-vp
76,fr-nor-sm
77,fr-idf-se
78,fr-idf-yv
79,fr-naq-ds
80,fr-hdf-so
81,fr-occ-ta
82,fr-occ-tg
83,fr-pac-vr
84,fr-pac-vc
85,fr-pdl-vd
86,fr-naq-vn
87,fr-naq-hv
88,fr-ges-vg
89,fr-bfc-yo
90,fr-bfc-tb
91,fr-idf-es
92,fr-idf-hd
93,fr-idf-ss
94,fr-idf-vm
95,fr-idf-vo
971,fr-gua-gp
972,fr-mq-mq
973,fr-gf-gf
974,fr-lre-re
976,fr-may-yt
